,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
63,Bredasdorp,76,ZA,1570044846,82,-34.53,20.04,59.0,5.82
64,Bandarbeyla,25,SO,1570044854,77,9.49,50.81,76.24,4.65
65,Ashington,75,GB,1570044901,76,55.18,-1.57,52.0,6.93
66,Rodionovo-Nesvetayskaya,0,RU,1570044901,76,47.61,39.7,57.2,8.95
67,Cape Town,20,ZA,1570044711,87,-33.93,18.42,63.0,8.05
68,Stuttgart,20,DE,1570044901,87,48.78,9.18,51.01,4.7
69,Ojinaga,1,US,1570044901,43,29.56,-104.41,87.8,6.93
70,Nikolskoye,40,RU,1570044901,93,59.7,30.79,44.01,4.47
71,Kathu,0,ZA,1570044902,31,-27.7,23.05,59.0,7.45
72,Atuona,4,PF,1570044902,73,-9.8,-139.03,79.46,9.78
73,Beyneu,93,KZ,1570044902,42,45.32,55.19,59.35,17.98
74,Namatanai,88,PG,1570044616,81,-3.66,152.44,78.79,4.47
75,Sambava,100,MG,1570044902,94,-14.27,50.17,68.64,2.75
76,Antofagasta,90,CL,1570044903,77,-23.65,-70.4,59.0,16.11
77,Codrington,0,AU,1570044812,100,-28.95,153.24,48.99,8.05
78,Jamestown,0,AU,1570044903,91,-33.21,138.6,48.32,3.51
79,Nabire,27,ID,1570044903,95,-3.36,135.5,66.64,1.03
80,Kinsale,75,IE,1570044903,87,51.71,-8.52,46.4,5.82
81,Rovnoye,0,RU,1570044904,68,50.78,46.06,55.66,2.82
82,Eyl,56,SO,1570044904,92,7.98,49.82,72.58,4.07
83,Goderich,88,CA,1570044904,89,43.74,-81.71,60.01,13.0
84,Nurota,61,UZ,1570044904,32,40.56,65.69,53.6,6.93
85,Klaksvik,75,FO,1570044842,81,62.23,-6.59,44.6,3.36
86,Nizwa,87,OM,1570044776,47,22.93,57.53,78.92,1.28
87,Gazojak,48,TM,1570044905,35,41.19,61.4,52.1,10.13
88,Teeli,0,RU,1570044905,51,51.01,90.2,24.83,1.81
89,Xingcheng,0,CN,1570044905,76,40.62,120.71,62.49,8.75
90,Thai Nguyen,40,VN,1570044906,88,21.59,105.84,80.6,8.05
91,Rodrigues Alves,75,BR,1570044906,66,-7.74,-72.65,89.6,4.7
92,Jumla,76,NP,1570044906,94,29.28,82.18,47.4,1.21
93,Longyearbyen,75,NO,1570044790,92,78.22,15.63,32.0,9.17
94,Paita,0,PE,1570044906,290,-5.09,-81.11,62.6,13.87
95,Lagoa,0,PT,1570044836,53,37.14,-8.45,73.4,12.75
96,Tignere,94,CM,1570044907,94,7.37,12.65,65.62,0.72
97,Provideniya,75,RU,1570044907,86,64.42,-173.23,41.0,15.66
98,Cibitoke,32,BI,1570044907,80,-2.89,29.12,63.87,0.92
99,Umm Kaddadah,90,SD,1570044862,60,13.6,26.69,80.16,15.64
100,Avarua,100,CK,1570044786,64,-21.21,-159.78,75.2,9.17
101,Biltine,0,TD,1570044908,31,14.53,20.93,90.39,4.12
102,Waynesboro,20,US,1570044908,34,35.32,-87.76,97.0,10.29
103,Taoudenni,0,ML,1570044860,8,22.68,-3.98,94.09,7.23
104,Yar-Sale,100,RU,1570044773,93,66.83,70.83,46.34,14.12
105,San Jeronimo,90,PE,1570044908,76,-13.65,-73.37,53.6,11.41
106,Kwakoa,21,TZ,1570044909,67,-3.77,37.72,74.02,5.97
107,Puerto Ayora,20,EC,1570044783,57,-0.74,-90.35,78.8,20.8
108,Biak,7,ID,1570044835,96,-0.91,122.88,60.18,3.04
109,Dikson,2,RU,1570044912,77,73.51,80.55,26.04,19.77
110,Alofi,100,NU,1570044832,88,-19.06,-169.92,77.0,3.36
111,Kodiak,90,US,1570044793,83,39.95,-94.76,81.0,4.7
112,Verkh-Usugli,10,RU,1570044913,60,52.7,115.17,26.61,1.36
113,Poum,0,MK,1570044809,82,41.28,20.71,55.4,2.24
114,Iqaluit,75,CA,1570044791,75,63.75,-68.52,41.0,12.75
115,Moindou,20,NC,1570044913,76,-21.69,165.68,57.2,2.24
116,Iquique,40,CL,1570044913,63,-20.22,-70.14,64.4,17.22
117,Khatanga,0,RU,1570044777,83,71.98,102.47,20.4,7.96
118,Pangnirtung,75,CA,1570044814,80,66.15,-65.72,39.2,6.93
119,Port Hedland,0,AU,1570044793,73,-20.31,118.58,71.6,8.05
120,Torbay,90,CA,1570044546,86,47.66,-52.73,44.01,11.41
121,Spodnja Idrija,20,SI,1570044914,87,46.03,14.02,61.0,3.36
122,Pelym,100,RU,1570044914,93,61.01,62.0,47.08,7.72
123,Faanui,99,PF,1570044792,75,-16.48,-151.75,77.01,16.6
124,Naze,100,NG,1570044914,97,5.43,7.07,72.89,3.11
125,Baghdad,0,IQ,1570044727,27,33.3,44.38,89.6,2.24
126,Osoyoos,90,CA,1570044915,53,49.03,-119.47,54.0,12.75
127,West Wendover,1,US,1570044866,50,40.74,-114.07,51.8,6.93
128,Isangel,75,VU,1570044785,82,-19.55,169.27,68.0,18.41
129,Teguise,0,ES,1570044915,65,29.06,-13.56,78.8,11.41
130,Tuatapere,100,NZ,1570044831,92,-46.13,167.69,42.01,3.0
131,Chuy,100,UY,1570044824,88,-33.69,-53.46,54.76,23.89
132,Fortuna,20,US,1570044793,55,40.6,-124.16,64.99,4.7
133,Narsaq,75,GL,1570044916,30,60.91,-46.05,53.6,25.28
134,Qasigiannguit,75,GL,1570044916,29,68.82,-51.19,50.0,21.92
135,Balkanabat,0,TM,1570044811,44,39.51,54.36,67.78,2.37
136,Norman Wells,90,CA,1570044831,93,65.28,-126.83,44.6,2.98
137,Jalu,0,LY,1570044917,28,29.03,21.55,78.61,11.3
138,Samarai,100,PG,1570044822,92,-10.62,150.67,74.35,5.86
139,Tungor,48,RU,1570044917,62,53.39,142.95,40.8,26.33
140,Guerrero Negro,0,MX,1570044849,77,27.97,-114.04,66.48,10.47
141,Bima,0,ID,1570044917,96,-8.45,118.73,67.22,0.78
142,Kudahuvadhoo,100,MV,1570044918,79,2.67,72.89,81.87,14.36
143,Saldanha,16,PT,1570044826,48,41.42,-6.55,61.51,2.13
144,Maldonado,90,UY,1570044642,93,-34.91,-54.96,51.8,17.22
145,Leningradskiy,100,RU,1570044918,94,69.38,178.42,29.83,15.64
146,Rio Grande,90,BR,1570044912,83,-32.03,-52.1,69.8,6.93
147,Bilma,0,NE,1570044563,12,18.69,12.92,94.52,8.57
148,Komsomolskiy,100,RU,1570044587,77,67.55,63.78,42.5,24.27
149,Khromtau,10,KZ,1570044919,55,50.26,58.44,44.92,8.41
150,Shihezi,54,CN,1570044919,36,44.3,86.03,48.36,8.01
151,Veinticinco de Mayo,100,AR,1570044919,96,-27.38,-54.75,70.0,1.01
152,Maraa,73,BR,1570044919,47,-1.83,-65.37,93.52,2.17
153,Cabo San Lucas,20,MX,1570044747,58,22.89,-109.91,88.0,11.41
154,Aljezur,100,PT,1570044920,84,37.31,-8.8,68.0,1.01
155,Nigde,0,TR,1570044920,54,37.97,34.68,59.19,0.49
156,Santa Marta de Tormes,0,ES,1570044920,66,40.95,-5.63,66.0,1.12
157,Saint George,20,GR,1570044743,88,39.45,22.34,68.0,4.7
158,Saint Anthony,90,US,1570044645,60,43.97,-111.68,46.0,6.93
159,Husavik,86,CA,1570044579,74,50.56,-96.99,44.01,6.82
160,Kahului,40,US,1570044794,69,20.89,-156.47,82.4,11.41
161,Khandyga,89,RU,1570044921,75,62.65,135.58,22.8,2.86
162,Dingle,95,PH,1570044921,91,11.0,122.67,73.07,2.51
163,Moron,100,HT,1570044804,76,18.56,-74.26,82.12,4.09
164,Lazaro Cardenas,40,MX,1570044921,73,28.39,-105.62,84.0,5.35
165,Makakilo City,40,US,1570044922,78,21.35,-158.09,84.99,4.7
166,Kichera,75,RU,1570044922,68,55.93,110.1,24.85,1.23
167,Dunedin,100,NZ,1570044795,66,-45.87,170.5,46.0,17.0
168,Rawson,33,AR,1570044847,20,-43.3,-65.11,55.65,9.1
169,Mount Gambier,90,AU,1570044863,87,-37.83,140.78,53.6,10.29
170,Bathsheba,20,BB,1570044922,62,13.22,-59.52,87.8,17.22
171,Pointe Michel,20,DM,1570044923,66,15.25,-61.38,91.4,8.05
172,Road Town,1,VG,1570044573,66,18.42,-64.62,87.8,10.29
173,Hermanus,99,ZA,1570044770,93,-34.42,19.24,59.0,1.01
174,Pimenta Bueno,100,BR,1570044923,59,-11.68,-61.19,86.52,3.87
175,Salalah,75,OM,1570044825,83,17.01,54.1,80.6,3.36
176,Pulandian,0,CN,1570044923,100,39.4,121.96,62.6,6.71
177,Merano,75,IT,1570044924,71,46.67,11.16,59.0,12.75
178,Neepawa,75,CA,1570044924,71,50.23,-99.46,41.0,8.05
179,Spearfish,75,US,1570044924,93,44.49,-103.86,42.01,4.7
180,Yarmouth,90,CA,1570044808,87,43.84,-66.12,53.01,10.29
181,Ostersund,98,SE,1570044682,80,63.18,14.64,36.0,5.82
182,Mount Isa,0,AU,1570044808,23,-20.73,139.49,60.8,3.36
183,Wuwei,73,CN,1570044908,48,37.93,102.64,56.65,9.51
184,Sun Valley,1,US,1570044896,32,39.6,-119.78,60.01,11.41
185,Cidreira,100,BR,1570044816,87,-30.17,-50.22,65.29,10.96
186,Porangatu,50,BR,1570044925,29,-13.44,-49.14,92.49,6.51
187,Flinders,0,AU,1570044803,62,-34.58,150.85,57.99,8.05
188,Cha Grande,40,BR,1570044925,69,-8.24,-35.46,80.6,9.17
189,Souillac,0,FR,1570044796,87,45.6,-0.6,61.0,3.36
190,Kusa,100,RU,1570044926,74,55.34,59.45,45.84,12.33
191,Davila,20,PH,1570044926,94,18.47,120.58,75.2,2.24
192,Haines Junction,10,CA,1570044926,64,60.75,-137.51,39.55,4.09
193,Santa Cruz,0,BR,1570044699,59,-6.22,-36.02,76.24,14.12
194,Jerome,1,US,1570044926,11,34.75,-112.11,80.01,9.17
195,Puerto Leguizamo,100,CO,1570044927,56,-0.19,-74.78,86.75,3.78
196,Merzifon,0,TR,1570044927,45,40.87,35.46,64.0,1.12
197,Arraial do Cabo,0,BR,1570044927,69,-22.97,-42.02,80.6,25.28
198,Mansfield,0,GB,1570044636,81,53.14,-1.2,51.8,8.05
199,Zhigansk,63,RU,1570044768,92,66.77,123.37,20.19,5.23
200,Rapar,0,IN,1570044928,79,23.57,70.65,80.27,13.47
201,Aitape,38,PG,1570044928,89,-3.15,142.36,76.45,4.32
202,Half Moon Bay,1,US,1570044928,55,37.46,-122.43,73.99,4.7
203,Umm Lajj,0,SA,1570044928,78,25.02,37.27,83.04,9.42
204,Sakaiminato,75,JP,1570044928,61,35.55,133.23,77.0,2.24
205,Lamar,90,US,1570044929,71,38.09,-102.62,55.4,3.36
206,Zeya,0,RU,1570044929,66,53.74,127.27,25.14,5.82
207,Lakhnadon,0,IN,1570044929,93,22.6,79.61,68.91,4.54
208,Port Hardy,90,CA,1570044806,87,50.7,-127.42,51.8,13.87
209,Vanimo,98,PG,1570044929,76,-2.67,141.3,80.72,3.83
210,Vestmannaeyjar,100,IS,1570044789,75,63.44,-20.27,46.0,40.18
211,Quanzhou,58,CN,1570044930,94,24.9,118.59,78.8,4.47
212,Georgetown,40,GY,1570044930,74,6.8,-58.16,87.8,9.17
213,Antalaha,100,MG,1570044874,97,-14.9,50.28,64.86,3.42
214,Misawa,40,JP,1570044930,93,40.75,141.38,62.6,11.36
215,Caravelas,0,BR,1570044838,74,-17.73,-39.27,72.49,7.47
216,Tiksi,99,RU,1570044799,92,71.64,128.87,27.15,22.77
217,Beringovskiy,100,RU,1570044931,75,63.05,179.32,33.15,2.62
218,Ribas do Rio Pardo,100,BR,1570044931,82,-20.45,-53.76,72.8,5.44
219,Sorong,100,ID,1570044931,93,-0.86,131.25,73.32,1.72
220,Yamada,75,JP,1570044931,88,36.58,137.08,78.01,3.36
221,Mazagao,40,BR,1570044932,49,-0.12,-51.29,93.2,17.22
222,Zeliezovce,100,SK,1570044932,94,48.05,18.65,61.0,5.99
223,Tianpeng,0,CN,1570044932,50,28.88,112.34,71.29,1.63
224,Brownfield,90,US,1570044783,58,33.18,-102.27,84.2,12.75
225,Nanortalik,100,GL,1570044821,74,60.14,-45.24,42.78,2.42
226,Tobermory,46,CA,1570044932,71,45.25,-81.67,51.01,5.01
227,Yauya,87,PE,1570044933,68,-8.99,-77.29,48.36,4.25
228,Glendive,90,US,1570044933,95,47.11,-104.71,35.01,4.7
229,Hambantota,0,LK,1570044786,100,6.12,81.12,75.2,3.36
230,Warrnambool,16,AU,1570044933,77,-38.38,142.48,50.0,15.48
231,Semey,0,KZ,1570044933,54,50.41,80.25,34.66,6.73
232,Yumen,100,CN,1570044809,16,40.29,97.04,52.23,12.28
233,Gobabis,0,NA,1570044934,9,-22.45,18.97,60.85,11.32
234,Atherton,75,AU,1570044934,83,-17.27,145.48,72.0,9.17
235,Kirakira,100,SB,1570044934,87,-10.46,161.92,75.93,8.95
236,Sosnovo-Ozerskoye,0,RU,1570044934,73,52.53,111.54,26.61,2.82
237,Palmares do Sul,100,BR,1570044934,95,-30.26,-50.51,72.0,1.99
238,Gamba,35,CN,1570044935,75,28.28,88.52,34.19,4.09
239,Constitucion,40,MX,1570044840,43,23.99,-104.67,75.0,3.36
240,Wanning,75,AT,1570044935,87,48.64,13.53,55.4,10.29
241,Kulhudhuffushi,2,MV,1570044935,73,6.62,73.07,82.38,8.72
242,Mersing,98,MY,1570044935,88,2.43,103.84,73.77,1.01
243,Praia da Vitoria,40,PT,1570044864,78,38.73,-27.07,71.6,20.2
244,Ahipara,42,NZ,1570044936,94,-35.17,173.16,51.01,17.02
245,Westport,90,US,1570044716,78,41.14,-73.36,93.0,9.17
246,Bar-le-Duc,20,FR,1570044799,66,48.77,5.16,53.6,5.82
247,Seoul,90,KR,1570044912,94,37.57,126.98,68.0,9.17
248,East London,0,ZA,1570044891,77,-33.02,27.91,64.4,6.93
249,Nemuro,66,JP,1570044936,92,43.32,145.57,62.49,14.12
250,Aloleng,85,PH,1570044937,72,16.13,119.78,82.29,6.89
251,Plouzane,0,FR,1570044937,87,48.38,-4.62,53.6,5.82
252,Sur,62,OM,1570044817,54,22.57,59.53,85.08,12.82
253,Pasaje,90,EC,1570044937,73,-3.33,-79.81,89.6,4.7
254,Vardo,40,US,1570044937,36,39.62,-77.74,93.99,14.99
255,Karratha,0,AU,1570044850,26,-20.74,116.85,76.85,11.25
256,Dubovka,0,RU,1570044938,81,49.06,44.83,51.8,6.71
257,Severo-Kurilsk,100,RU,1570044938,93,50.68,156.12,48.18,14.34
258,Harnosand,75,SE,1570044938,69,62.63,17.94,39.99,11.41
259,Mecca,28,SA,1570044938,46,21.43,39.83,89.47,3.71
260,Sebeta,75,ET,1570044939,77,8.91,38.62,60.8,6.93
261,Santa Cruz del Sur,100,CU,1570044939,95,20.71,-78.0,75.01,2.86
262,Ancud,20,CL,1570044855,53,-41.87,-73.83,51.8,5.82
263,San Patricio,100,PY,1570044832,96,-26.98,-56.83,70.05,6.4
264,Sungaipenuh,91,ID,1570044849,95,-2.08,101.38,70.57,0.63
265,Sinegorye,38,RU,1570044939,81,62.09,150.53,12.01,1.68
266,Broome,40,GB,1570044837,71,52.47,1.45,51.01,6.93
267,Bethel,90,US,1570044814,100,60.79,-161.76,46.4,10.29
268,Bambanglipuro,100,ID,1570044797,90,-7.95,110.28,75.0,4.5
269,Sinnamary,21,GF,1570044820,77,5.38,-52.96,82.12,21.45
270,Mount Vernon,1,US,1570044940,30,38.73,-77.1,96.01,6.93
271,Pisco,0,PE,1570044784,30,-13.71,-76.2,71.6,10.29
272,Pacific Grove,1,US,1570044590,52,36.62,-121.92,75.0,10.29
273,Naron,0,ES,1570044941,87,43.52,-8.15,62.01,1.12
274,Plettenberg Bay,86,ZA,1570044593,42,-34.05,23.37,65.54,3.71
275,Upernavik,0,GL,1570044941,71,72.79,-56.15,37.05,11.48
276,Sampit,97,ID,1570044941,98,-2.54,112.95,72.87,0.63
277,Umm Bab,1,QA,1570044941,41,25.21,50.81,91.4,1.12
278,Miri,79,NG,1570044941,77,10.31,9.75,73.39,3.27
279,Cayenne,40,GF,1570044846,62,4.94,-52.33,89.6,16.11
280,Lasa,20,CY,1570044942,73,34.92,32.53,75.2,5.82
281,Alexandria,0,RO,1570044745,52,43.97,25.33,66.0,8.77
282,Port Alfred,100,ZA,1570044942,93,-33.59,26.89,61.0,1.01
283,Lompoc,1,US,1570044792,25,34.64,-120.46,77.0,6.93
284,Arlit,48,NE,1570044942,9,18.74,7.39,93.05,11.05
285,Hamilton,90,CA,1570044943,100,43.26,-79.87,59.0,13.87
286,Cascais,20,PT,1570044943,68,38.7,-9.42,66.2,13.87
287,Kavaratti,22,IN,1570044943,76,10.57,72.64,81.64,7.78
288,Grindavik,90,IS,1570044943,75,63.84,-22.43,44.6,29.97
289,Kavieng,100,PG,1570044819,77,-2.57,150.8,81.44,5.03
290,Porto Velho,40,BR,1570044944,74,-8.75,-63.87,78.8,8.05
291,Sheridan,20,US,1570044906,58,39.65,-105.03,63.0,4.7
292,Visby,40,SE,1570044944,93,57.64,18.3,39.99,3.36
293,Saryozek,0,KZ,1570044945,51,44.36,77.98,47.31,2.82
294,Luganville,90,VU,1570044945,88,-15.51,167.18,75.2,9.17
295,Cordoba,0,AR,1570044945,19,-27.78,-67.24,62.25,10.25
296,Calabazar de Sagua,75,CU,1570044945,74,22.65,-79.9,82.4,8.05
297,Los Llanos de Aridane,20,ES,1570044801,83,28.66,-17.92,75.2,11.41
298,Itanhem,9,BR,1570044946,71,-17.17,-40.33,69.7,4.34
299,Gondanglegi,64,ID,1570044946,96,-7.75,112.01,71.0,5.32
300,Ilulissat,75,GL,1570044782,29,69.22,-51.1,50.0,21.92
301,Molchanovo,93,RU,1570044946,77,57.58,83.76,40.47,8.99
302,Mahebourg,40,MU,1570044797,83,-20.41,57.7,75.2,11.41
303,Tilichiki,100,RU,1570044817,99,60.47,166.1,34.14,7.23
304,Cherskiy,19,RU,1570044807,86,68.75,161.3,19.97,15.19
305,Comodoro Rivadavia,40,AR,1570044947,40,-45.87,-67.48,53.6,10.29
306,Quang Ngai,97,VN,1570044947,97,15.12,108.8,68.77,2.1
307,Brae,67,GB,1570044833,87,60.4,-1.35,50.0,11.41
308,Moroni,20,GR,1570044948,88,35.09,24.92,73.99,6.93
309,Kupang,0,ID,1570044948,60,-10.16,123.6,75.2,6.93
310,Okha,48,RU,1570044948,62,53.59,142.95,40.8,26.33
311,Saint-Philippe,90,CA,1570044948,62,45.36,-73.48,55.4,12.75
312,Sioux Lookout,75,CA,1570044607,70,50.1,-91.92,42.8,5.82
313,Atambua,41,ID,1570044858,75,-9.11,124.89,76.36,4.09
314,Doha,1,QA,1570044766,41,25.29,51.53,91.4,1.12
315,Aykhal,90,RU,1570044870,92,65.95,111.51,23.0,4.47
316,Gravelbourg,100,CA,1570044949,92,49.88,-106.56,39.9,5.26
317,Emerald,90,AU,1570044949,77,-23.53,148.16,66.2,12.75
318,Beloha,100,MG,1570044949,78,-25.17,45.06,70.28,12.75
319,Sao Filipe,0,CV,1570044829,83,14.9,-24.5,78.61,18.05
320,Touros,20,BR,1570044865,51,-5.2,-35.46,84.2,11.41
321,Clyde River,75,CA,1570044825,93,70.47,-68.59,37.4,5.82
322,Big Rapids,90,US,1570044818,87,43.7,-85.48,59.0,13.87
323,Maragogi,0,BR,1570044950,85,-9.01,-35.22,72.26,5.7
324,Banepa,75,NP,1570044950,88,27.63,85.52,68.0,3.36
325,Aranda de Duero,91,ES,1570044951,72,41.67,-3.69,52.64,6.85
326,Nampula,75,MZ,1570044951,94,-15.12,39.26,73.4,5.82
327,Santa Marta,40,CO,1570044951,70,11.24,-74.21,87.8,11.41
328,Negombo,40,LK,1570044951,88,7.21,79.83,80.6,2.24
329,Hay River,75,CA,1570044951,38,60.82,-115.79,60.8,10.29
330,Walvis Bay,0,NA,1570044952,82,-22.95,14.51,63.0,4.7
331,Eydhafushi,100,MV,1570044952,72,5.1,73.07,82.2,4.47
332,Thai Binh,75,VN,1570044952,88,20.45,106.33,80.6,2.24
333,Inhambane,20,MZ,1570044781,77,-23.87,35.38,66.2,4.25
334,Kutum,47,SD,1570044952,40,14.2,24.66,79.23,11.14
335,Lannion,90,FR,1570044953,81,48.73,-3.46,55.0,6.85
336,Airai,0,TL,1570044821,58,-8.93,125.41,68.53,2.95
337,Bongandanga,100,CD,1570044953,92,1.51,21.07,71.2,1.05
338,Neuquen,0,AR,1570044912,33,-38.95,-68.06,57.2,6.93
339,Togur,62,RU,1570044953,81,58.36,82.83,39.5,10.87
340,Bonthe,100,SL,1570044870,87,7.53,-12.5,78.38,7.36
341,Oktyabrskoye,0,RU,1570044877,83,56.73,85.44,41.0,11.18
342,Lavrentiya,66,RU,1570044842,80,65.58,-170.99,38.24,13.6
343,Kropotkin,0,RU,1570044847,53,45.43,40.58,64.0,10.98
344,Noumea,20,NC,1570044954,76,-22.28,166.46,73.0,2.24
345,Aksarka,52,RU,1570044834,81,66.56,67.8,41.35,16.67
346,Ixtapa,40,MX,1570044866,58,20.71,-105.21,87.8,8.05
347,Lichuan,100,CN,1570044954,69,30.3,108.94,68.39,5.19
348,Faya,0,SA,1570044772,82,18.39,42.45,66.2,2.73
349,Solnechnyy,100,RU,1570044955,90,50.72,136.64,34.3,4.25
350,Adrar,0,DZ,1570044869,13,27.87,-0.29,95.0,6.93
351,Hoquiam,1,US,1570044955,66,46.98,-123.89,61.0,8.05
352,Aguazul,75,CO,1570044955,87,5.17,-72.55,72.71,1.45
353,Ballybofey,75,IE,1570044956,76,54.8,-7.78,51.8,2.24
354,Omsukchan,0,RU,1570044787,81,62.53,155.8,9.37,4.0
355,Shush,60,RU,1570044956,73,55.6,89.45,35.68,10.0
356,Haldwani,0,IN,1570044956,93,29.22,79.53,56.85,3.2
357,El Alto,75,BO,1570044956,66,-16.5,-68.19,50.0,12.75
358,Newport,75,GB,1570044641,66,51.59,-3.0,53.01,4.7
359,Huallanca,98,PE,1570044957,83,-9.9,-76.94,41.8,1.3
360,Hit,10,IQ,1570044841,18,33.64,42.83,87.85,11.27
361,Bilibino,100,RU,1570044957,94,68.06,166.44,11.26,5.48
362,Kakinada,89,IN,1570044957,89,16.93,82.22,76.33,4.59
363,Egvekinot,100,RU,1570044958,95,66.32,-179.17,29.1,2.82
364,Katsuura,75,JP,1570044802,78,33.93,134.5,78.8,28.86
365,Zabid,100,YE,1570044958,82,14.2,44.5,67.29,0.49
366,Mikhaylovka,0,RU,1570044958,75,52.96,103.29,29.26,3.74
367,Alekseyevsk,74,RU,1570044959,93,57.84,108.35,28.43,7.96
368,Tuktoyaktuk,90,CA,1570044959,93,69.44,-133.03,37.4,4.7
369,Lugovoy,100,RU,1570044959,90,59.72,65.88,48.75,11.74
370,Pakala,88,GM,1570044959,84,13.62,-15.52,78.27,6.26
371,Buritama,24,BR,1570044960,28,-21.07,-50.14,93.14,5.14
372,Huarmey,23,PE,1570044960,90,-10.07,-78.15,61.84,17.98
373,Verkhnetulomskiy,90,RU,1570044960,91,68.61,31.8,32.0,6.71
